name,adress,latitude,longitude
日本橋スルガビル店,東京都 中央区 日本橋室町1-7-1 スルガビル 1F,139.77495,35.68479
コレド室町テラス店,東京都 中央区 日本橋室町3-2-1 コレド室町テラス 地下1階,139.77254,35.68787
コレド室町2店,東京都 中央区 日本橋室町2-3-1 コレド室町2 地下1階,139.77487,35.68689
日本橋本町店,東京都 中央区 日本橋本町2-4-5 扶桑日本橋ビル 1F,139.77556,35.6871
茅場町店,東京都 中央区 日本橋茅場町1-12-2 樋口本店ビル 1F,139.78082,35.67936
日本橋高島屋Ｓ.Ｃ.5階店,東京都 中央区 日本橋茅場町1-12-2 樋口本店ビル 1F,139.78082,35.67936
日本橋高島屋Ｓ.Ｃ.5階店,東京都 中央区 日本橋2-5-1 日本橋高島屋Ｓ.Ｃ. 新館5階,139.77351,35.68147
日本橋高島屋Ｓ.Ｃ.1階店,東京都 中央区 日本橋2-5-1 日本橋高島屋Ｓ.Ｃ. 新館1階,139.77351,35.68147
八重洲地下街店,東京都 中央区 八重洲2-1 八重洲地下街 中3号,139.76961,35.67986
東京駅八重洲南口店,東京都 中央区 八重洲2-4-13 住友不動産八重洲二丁目ビル,139.76871,35.67837
京橋エドグラン店,東京都 中央区 京橋2-2-1 京橋エドグラン,139.76965,35.67731
築地駅前店,東京都 中央区 築地2-12-8 大広ビル 1F,139.77164,35.66818
晴海 トリトンスクエア店,東京都 中央区 晴海1-8-10 晴海アイランド トリトンスクエア オフィスタワーX,139.78183,35.65556
銀座松屋通り店,東京都 中央区 銀座3-7-14 ＥＳＫビル 1F,139.76712,35.67195
銀座コリドー通り店,東京都 中央区 銀座7-2-22 コリドースクエア銀座７丁目,139.75993,35.67037
東銀座店,東京都 中央区 銀座5-15-8 時事通信ビル,139.76753,35.6683
銀座ファイブ店,東京都 中央区 銀座5丁目1番先 GINZA FIVE,139.76166,35.67236
GINZA SIX店,東京都 中央区 銀座6-10-1,139.76405,35.66956
マロニエゲート銀座1店,東京都 中央区 銀座2-2-14 マロニエゲート銀座1,139.76561,35.67461
銀座EXITMELSA店,東京都 中央区 銀座5-7-10,139.76434,35.67092
銀座 蔦屋書店,東京都 中央区 銀座6-10-1 GINZA SIX 6階,139.76405,35.66956
エチカフィット銀座店,東京都 中央区 銀座4-1-2 東京メトロ銀座駅構内,139.76355,35.67305
CIRCLES 銀座店,東京都 中央区 銀座3-7-6 CIRCLES 銀座,139.76712,35.67195
聖路加国際病院店,東京都 中央区 明石町9-1 聖路加国際病院,139.77722,35.66739
虎ノ門駅前店,東京都 港区 虎ノ門1-1-23 ウンピン虎ノ門ビル 1F,139.75056,35.67029
虎ノ門２丁目タワー店,東京都 港区 虎ノ門2-3-17 虎ノ門２丁目タワー,139.74683,35.66857
新橋駅前店,東京都 港区 新橋2-19-3 カシケイビル 1F,139.75955,35.66681
JR新橋駅 汐留改札内店,東京都 港区 新橋2-17-14 新橋駅地下1階,139.75816,35.66713
JR新橋駅 銀座口店,東京都 港区 新橋2-17-14 新橋駅1階,139.75816,35.66713
芝大門店,東京都 港区 芝公園2-3-4 リッチモンドホテル東京芝,139.75215,35.65654
愛宕グリーンヒルズ店,東京都 港区 愛宕2-5-1 ＭＯＲＩ タワー（愛宕グリーンヒルズ）,139.74896,35.66205
虎ノ門ヒルズ ビジネスタワー店,東京都 港区 虎ノ門1-17-1 虎ノ門ヒルズ ビジネスタワー,139.74957,35.66825
東京ワールドゲート神谷町店,東京都 港区 虎ノ門4-1-1 神谷町トラストタワー,139.74454,35.66541
カレッタ汐留店,東京都 港区 東新橋1-8-2 カレッタ汐留,139.76227,35.66455
汐留シティセンター店,東京都 港区 東新橋1-5-2 汐留シティセンター,139.7614,35.66563
ペディ汐留店,東京都 港区 東新橋1-9-1 東京汐留ビルディング内　Pedi汐留,139.76089,35.6625
日テレプラザ店,東京都 港区 東新橋1-6-1 日本テレビタワー 2階,139.76015,35.66426
六本木７丁目店,東京都 港区 六本木7-14-1 東李閣ビル 1F,139.73137,35.66356
六本木ヒルズ メトロハット／ハリウッドプラザ店,東京都 港区 六本木6-4-1 メトロハット/ハリウッドプラザ,139.72969,35.66142
六本木ヒルズ ウエストウォーク店,東京都 港区 六本木6-10-1 森タワー 2F,139.7292,35.66021
アークヒルズサウスタワー店,東京都 港区 六本木1-4-5 アークヒルズサウスタワー,139.7393,35.66569
六本木 蔦屋書店,東京都 港区 六本木6-11-1 ゲートタワー,139.73195,35.65877
麻布十番店,東京都 港区 麻布十番1-11-14 ＳＢＳビル,139.7365,35.65573
六本木ヒルズ ウエストウォーク ラウンジ店,東京都 港区 六本木6-10-1 森タワー 1F,139.7292,35.66021
赤坂見附店,東京都 港区 赤坂3-21-20 赤坂ロングビーチビル 1F,139.73576,35.6769
赤坂溜池タワー店,東京都 港区 赤坂2-17-1 赤坂溜池タワー,139.73842,35.67022
赤坂インターシティAIR店,東京都 港区 赤坂1-8-1,139.74266,35.66959
東京ミッドタウン店,東京都 港区 赤坂9-7-2 東京ミッドタウンB0103,139.73221,35.66602
アクセス表参道店,東京都 港区 北青山3-6-17 アクセス表参道ビル,139.71133,35.66523
青山ビルヂング店,東京都 港区 北青山1-2-3 青山ビル,139.72321,35.67305
南青山２丁目店,東京都 港区 南青山2-26-37 VORT外苑前Ⅰ1F,139.71761,35.66944
青山骨董通り店,東京都 港区 南青山5-10-1 H2 AOYAMA BUILDING,139.71109,35.66259
南青山骨董通り店,東京都 港区 南青山5-4-27 Barbizon104,139.71443,35.66223
アークヒルズ店,東京都 港区 赤坂1-12-32 アーク森ビル 1F,139.7413,35.66734
赤坂Bizタワー店,東京都 港区 赤坂5-3-1 赤坂Bizタワー(区画番号206),139.73517,35.67256
新田町ビル店,東京都 港区 芝5-34-6 新田町ビル,139.7467,35.64587
ムスブ田町2階店,東京都 港区 芝浦3-1-21 msb Tamachi 田町ステーションタワーS 2階205,139.74889,35.64499
ムスブ田町4階店,東京都 港区 芝浦3-1-21 msb Tamachi 田町ステーションタワーS 4階402,139.74889,35.64499
白金高輪店,東京都 港区 白金1-17-2-102 白金アエルシティ,139.73315,35.64445
品川インターシティ店,東京都 港区 港南2-15-2 品川インターシティ 2F (206),139.742,35.62634
高輪ゲートウェイ駅店,東京都 港区 港南2-1-220 JR高輪ゲートウェイ駅改札外3階,139.74142,35.6339
ＪＲ東海 品川駅ラチ内店,東京都 港区 港南2-1-78 ＪＲＣＰ品川営業所,139.74142,35.6339
JR東海 品川駅店,東京都 港区 港南2-1-78 JRCP品川営業所,139.74142,35.6339
上野マルイ店,東京都 台東区 上野6-15-1 上野マルイ店 B1F,139.77582,35.71087
御徒町春日通り店,東京都 台東区 上野6-15-1 上野マルイ店 B1F,139.77582,35.71087
御徒町春日通り店,東京都 台東区 上野6-2-1 ヨシダビル,139.77554,35.7079
アトレ上野店,東京都 台東区 上野7-1-1 アトレ上野 1F,139.77692,35.7137
パルコヤ上野店,東京都 台東区 上野3-24-6 パルコヤ 5階,139.77307,35.70683
エキュート上野 公園口店,東京都 台東区 上野7-1-1 エキュート上野,139.77692,35.7137
JR上野駅 入谷改札前店,東京都 台東区 上野7-1-1 上野駅構内3階入谷口改札外,139.77692,35.7137
上野恩賜公園店,東京都 台東区 上野公園8-22,139.77316,35.71731
雷門店,東京都 台東区 浅草1-18-2 雷門旅館,139.79588,35.71134
浅草駅前店,東京都 台東区 花川戸1-5-1,139.79794,35.71207
浅草雷門通り店,東京都 台東区 雷門2-16-7 グランコピエ浅草雷門,139.795,35.71077
東京ドームシティ ラクーア店,東京都 文京区 春日1-1-1 ラクーア,139.75328,35.70671
水道橋後楽森ビル店,東京都 文京区 後楽1-4-14 後楽森ビル 1F,139.74942,35.70377
東京ドームシティ ミーツポート店,東京都 文京区 後楽1-3-61 東京ドームシティミーツポート1階,139.75171,35.70528
本郷東大前店,東京都 文京区 本郷4-1-4 Design Placeα 1F,139.76077,35.70807
順天堂医院店,東京都 文京区 本郷3-1-3 順天堂大学医学部附属順天堂医院 (1号館）,139.76248,35.7024
日本医科大学付属病院店,東京都 文京区 千駄木1-1-5 日本医科大学付属病院,139.75909,35.72112
東京大学工学部店,東京都 文京区 本郷7-3-1 工学部11号館,139.76321,35.71415
王子駅前店,東京都 北区 王子1-9-5 京徳ビル 1F,139.73795,35.75397
アトレヴィ田端店,東京都 北区 東田端1-17-2 アトレヴィ田端,139.76213,35.73652
ビーンズ赤羽店,東京都 北区 赤羽1-1-1 ビーンズ赤羽,139.72099,35.77785
エキア北千住店,東京都 足立区 千住旭町42-1 EQUiA北千住,139.80605,35.75281
ルミネ北千住店,東京都 足立区 千住旭町42-2 ルミネ北千住,139.80605,35.75281
北千住マルイ店,東京都 足立区 千住3-92 北千住マルイ,139.80457,35.75108
アリオ西新井店,東京都 足立区 西新井栄町1-20-1 アリオ西新井,139.78578,35.77469
金町駅南口店,東京都 葛飾区 金町6-4-2 ラヴィクレール金町,139.87137,35.76903
アリオ亀有店,東京都 葛飾区 亀有3-49-3 アリオ亀有,139.85254,35.76434
錦糸町オリナス店,東京都 墨田区 太平4-1-2 オリナス,139.81612,35.70058
錦糸町テルミナ2店,東京都 墨田区 錦糸1-2-47 テルミナ2,139.81343,35.69683
錦糸町 丸井店,東京都 墨田区 江東橋3-9-10 丸井 錦糸町店,139.81371,35.695
錦糸町パルコ店,東京都 墨田区 江東橋3-9-10 丸井 錦糸町店,139.81371,35.695
錦糸町パルコ店,東京都 墨田区 江東橋4-27-14 楽天地ビル,139.81572,35.6962
東京スカイツリータウン・ソラマチ東6階店,東京都 墨田区 押上1-1-2 東京スカイツリータウン,139.8112,35.71034
東京スカイツリータウン・ソラマチ西1階店,東京都 墨田区 押上1-1-2 東京スカイツリータウン,139.8112,35.71034
シャポー小岩店,東京都 江戸川区 南小岩7-24-15,139.88159,35.73307
葛西臨海公園駅店,東京都 江戸川区 臨海町6-3-4 葛西臨海公園駅高架下ビル,139.85837,35.64545
木場イトーヨーカドー店,東京都 江東区 木場1-5-30 イトーヨーカドー木場店 1F,139.80321,35.6655
豊洲フォレシア店,東京都 江東区 木場1-5-30 イトーヨーカドー木場店 1F,139.80321,35.6655
豊洲フォレシア店,東京都 江東区 豊洲3-2-24 豊洲フォレシア,139.79486,35.65761
アーバンドック ららぽーと豊洲3 地下1階店,東京都 江東区 豊洲2-2-1 ららぽーと豊洲3 地下1階,139.79475,35.6545
TSUTAYA BOOKSTORE 東雲店,東京都 江東区 東雲2-7-20,139.80354,35.64363
東京ビッグサイト店,東京都 江東区 有明3-11-1 東京ビッグサイト　レストラン街,139.79445,35.62982
ダイバーシティ東京 プラザ店,東京都 江東区 青海1-1-10 ダイバーシティ東京 プラザ 2階,139.77377,35.62326
アクアシティお台場店,東京都 港区 台場1-7-1（区番R306） アクアシティお台場,139.77359,35.6278
豊洲センタービル店,東京都 江東区 豊洲3-3-3 豊洲センタービル 1F,139.79672,35.65571
ららぽーと豊洲 サウスポート2階店,東京都 江東区 豊洲2-4-9 ららぽーと豊洲,139.79123,35.65537
ららぽーと豊洲 シーサイドデッキ店,東京都 江東区 豊洲2-4-9 アーバンドック　ららぽーと豊洲,139.79123,35.65537
アトレ亀戸店,東京都 江東区 亀戸5-1-1 アトレ亀戸 1F,139.82707,35.69763
