name,latitude,longitude
FUKUOKAgrowthnext,33.5889493,130.394922
藤崎バスターミナル,33.5816383,130.347521
はかた伝統工芸館,33.5937753,130.410388
福岡市スタートアップカフェ,33.589043,130.395192
福岡市科学館,33.5768806,130.378067
福岡アジア美術館,33.5950391,130.406295
川端通商店街,33.5938696,130.407795
岩田屋本店本館地下2階入口自動販売機,33.5890931,130.397938
三の丸スクエア,33.5864848,130.380093
福岡城むかし探訪館,33.5873759,130.384746
鴻臚館跡展示館,33.5859363,130.385362
福岡市民防災センター,33.5893241,130.355617
福岡市植物園,33.5710827,130.38984
福岡市動物園,33.5722777,130.390356
福岡市南区役所本館,33.5616211,130.426456
福岡市南保健福祉センター,33.5613027,130.426798
福岡市赤煉瓦文化館,33.5931674,130.401855
志賀島旅客待合所,33.6622398,130.314247
西戸崎旅客待合所,33.6494129,130.359169
玄界島旅客待合所,33.6822718,130.23502
姪浜旅客待合所,33.5972397,130.327499
能古旅客待合所,33.6124969,130.310984
小呂島旅客待合所,33.8635116,130.0354
